layer_id	layer_name	comp_time	comm_size
0	attention	168867	8388608
0	moe	317108	63569920
1	attention	168867	8388608
1	moe	317108	63569920
2	attention	168867	8388608
2	moe	317108	63569920
3	attention	101371	8388608
3	moe	317108	63569920
4	attention	168867	8388608
4	moe	317108	63569920
5	attention	168867	8388608
5	moe	317108	63569920
6	attention	168867	8388608
6	moe	317108	63569920
7	attention	101371	8388608
7	moe	317108	63569920
8	attention	168867	8388608
8	moe	317108	63569920
9	attention	168867	8388608
9	moe	317108	63569920
10	attention	168867	8388608
10	moe	317108	63569920
11	attention	101371	8388608
11	moe	317108	63569920
12	attention	168867	8388608
12	moe	317108	63569920
13	attention	168867	8388608
13	moe	317108	63569920
14	attention	168867	8388608
14	moe	317108	63569920
15	attention	101371	8388608
15	moe	317108	63569920
16	attention	168867	8388608
16	moe	317108	63569920
17	attention	168867	8388608
17	moe	317108	63569920
18	attention	168867	8388608
18	moe	317108	63569920
19	attention	101371	8388608
19	moe	317108	63569920
20	attention	168867	8388608
20	moe	317108	63569920
21	attention	168867	8388608
21	moe	317108	63569920
22	attention	168867	8388608
22	moe	317108	63569920
23	attention	101371	8388608
23	moe	317108	63569920
24	attention	168867	8388608
24	moe	317108	63569920
25	attention	168867	8388608
25	moe	317108	63569920
26	attention	168867	8388608
26	moe	317108	63569920
27	attention	101371	8388608
27	moe	317108	63569920
28	attention	168867	8388608
28	moe	317108	63569920
29	attention	168867	8388608
29	moe	317108	63569920
30	attention	168867	8388608
30	moe	317108	63569920
31	attention	101371	8388608
31	moe	317108	63569920
32	attention	168867	8388608
32	moe	317108	63569920
33	attention	168867	8388608
33	moe	317108	63569920
34	attention	168867	8388608
34	moe	317108	63569920
35	attention	101371	8388608
35	moe	317108	63569920
36	attention	168867	8388608
36	moe	317108	63569920
37	attention	168867	8388608
37	moe	317108	63569920
38	attention	168867	8388608
38	moe	317108	63569920
39	attention	101371	8388608
39	moe	317108	63569920
40	attention	168867	8388608
40	moe	317108	63569920
41	attention	168867	8388608
41	moe	317108	63569920
42	attention	168867	8388608
42	moe	317108	63569920
43	attention	101371	8388608
43	moe	317108	63569920
44	attention	168867	8388608
44	moe	317108	63569920
45	attention	168867	8388608
45	moe	317108	63569920
46	attention	168867	8388608
46	moe	317108	63569920
47	attention	101371	8388608
47	moe	317108	63569920
