layer_id	layer_name	comp_time	comm_size
0	attention	1746372	100663296
0	moe	1960973	762839040
1	attention	1746372	100663296
1	moe	1960973	762839040
2	attention	1746372	100663296
2	moe	1960973	762839040
3	attention	882365	100663296
3	moe	1960973	762839040
4	attention	1746372	100663296
4	moe	1960973	762839040
5	attention	1746372	100663296
5	moe	1960973	762839040
6	attention	1746372	100663296
6	moe	1960973	762839040
7	attention	882365	100663296
7	moe	1960973	762839040
8	attention	1746372	100663296
8	moe	1960973	762839040
9	attention	1746372	100663296
9	moe	1960973	762839040
10	attention	1746372	100663296
10	moe	1960973	762839040
11	attention	882365	100663296
11	moe	1960973	762839040
12	attention	1746372	100663296
12	moe	1960973	762839040
13	attention	1746372	100663296
13	moe	1960973	762839040
14	attention	1746372	100663296
14	moe	1960973	762839040
15	attention	882365	100663296
15	moe	1960973	762839040
16	attention	1746372	100663296
16	moe	1960973	762839040
17	attention	1746372	100663296
17	moe	1960973	762839040
18	attention	1746372	100663296
18	moe	1960973	762839040
19	attention	882365	100663296
19	moe	1960973	762839040
20	attention	1746372	100663296
20	moe	1960973	762839040
21	attention	1746372	100663296
21	moe	1960973	762839040
22	attention	1746372	100663296
22	moe	1960973	762839040
23	attention	882365	100663296
23	moe	1960973	762839040
24	attention	1746372	100663296
24	moe	1960973	762839040
25	attention	1746372	100663296
25	moe	1960973	762839040
26	attention	1746372	100663296
26	moe	1960973	762839040
27	attention	882365	100663296
27	moe	1960973	762839040
28	attention	1746372	100663296
28	moe	1960973	762839040
29	attention	1746372	100663296
29	moe	1960973	762839040
30	attention	1746372	100663296
30	moe	1960973	762839040
31	attention	882365	100663296
31	moe	1960973	762839040
32	attention	1746372	100663296
32	moe	1960973	762839040
33	attention	1746372	100663296
33	moe	1960973	762839040
34	attention	1746372	100663296
34	moe	1960973	762839040
35	attention	882365	100663296
35	moe	1960973	762839040
36	attention	1746372	100663296
36	moe	1960973	762839040
37	attention	1746372	100663296
37	moe	1960973	762839040
38	attention	1746372	100663296
38	moe	1960973	762839040
39	attention	882365	100663296
39	moe	1960973	762839040
40	attention	1746372	100663296
40	moe	1960973	762839040
41	attention	1746372	100663296
41	moe	1960973	762839040
42	attention	1746372	100663296
42	moe	1960973	762839040
43	attention	882365	100663296
43	moe	1960973	762839040
44	attention	1746372	100663296
44	moe	1960973	762839040
45	attention	1746372	100663296
45	moe	1960973	762839040
46	attention	1746372	100663296
46	moe	1960973	762839040
47	attention	882365	100663296
47	moe	1960973	762839040
