layer_id	layer_name	comp_time	comm_size
0	attention	1150109	67108864
0	moe	1332971	508559360
1	attention	1150109	67108864
1	moe	1332971	508559360
2	attention	1150109	67108864
2	moe	1332971	508559360
3	attention	574645	67108864
3	moe	1332971	508559360
4	attention	1150109	67108864
4	moe	1332971	508559360
5	attention	1150109	67108864
5	moe	1332971	508559360
6	attention	1150109	67108864
6	moe	1332971	508559360
7	attention	574645	67108864
7	moe	1332971	508559360
8	attention	1150109	67108864
8	moe	1332971	508559360
9	attention	1150109	67108864
9	moe	1332971	508559360
10	attention	1150109	67108864
10	moe	1332971	508559360
11	attention	574645	67108864
11	moe	1332971	508559360
12	attention	1150109	67108864
12	moe	1332971	508559360
13	attention	1150109	67108864
13	moe	1332971	508559360
14	attention	1150109	67108864
14	moe	1332971	508559360
15	attention	574645	67108864
15	moe	1332971	508559360
16	attention	1150109	67108864
16	moe	1332971	508559360
17	attention	1150109	67108864
17	moe	1332971	508559360
18	attention	1150109	67108864
18	moe	1332971	508559360
19	attention	574645	67108864
19	moe	1332971	508559360
20	attention	1150109	67108864
20	moe	1332971	508559360
21	attention	1150109	67108864
21	moe	1332971	508559360
22	attention	1150109	67108864
22	moe	1332971	508559360
23	attention	574645	67108864
23	moe	1332971	508559360
24	attention	1150109	67108864
24	moe	1332971	508559360
25	attention	1150109	67108864
25	moe	1332971	508559360
26	attention	1150109	67108864
26	moe	1332971	508559360
27	attention	574645	67108864
27	moe	1332971	508559360
28	attention	1150109	67108864
28	moe	1332971	508559360
29	attention	1150109	67108864
29	moe	1332971	508559360
30	attention	1150109	67108864
30	moe	1332971	508559360
31	attention	574645	67108864
31	moe	1332971	508559360
32	attention	1150109	67108864
32	moe	1332971	508559360
33	attention	1150109	67108864
33	moe	1332971	508559360
34	attention	1150109	67108864
34	moe	1332971	508559360
35	attention	574645	67108864
35	moe	1332971	508559360
36	attention	1150109	67108864
36	moe	1332971	508559360
37	attention	1150109	67108864
37	moe	1332971	508559360
38	attention	1150109	67108864
38	moe	1332971	508559360
39	attention	574645	67108864
39	moe	1332971	508559360
40	attention	1150109	67108864
40	moe	1332971	508559360
41	attention	1150109	67108864
41	moe	1332971	508559360
42	attention	1150109	67108864
42	moe	1332971	508559360
43	attention	574645	67108864
43	moe	1332971	508559360
44	attention	1150109	67108864
44	moe	1332971	508559360
45	attention	1150109	67108864
45	moe	1332971	508559360
46	attention	1150109	67108864
46	moe	1332971	508559360
47	attention	574645	67108864
47	moe	1332971	508559360
