layer_id	layer_name	comp_time	comm_size
0	attention	2268861	134217728
0	moe	2557207	1017118720
1	attention	2268861	134217728
1	moe	2557207	1017118720
2	attention	2268861	134217728
2	moe	2557207	1017118720
3	attention	1118782	134217728
3	moe	2557207	1017118720
4	attention	2268861	134217728
4	moe	2557207	1017118720
5	attention	2268861	134217728
5	moe	2557207	1017118720
6	attention	2268861	134217728
6	moe	2557207	1017118720
7	attention	1118782	134217728
7	moe	2557207	1017118720
8	attention	2268861	134217728
8	moe	2557207	1017118720
9	attention	2268861	134217728
9	moe	2557207	1017118720
10	attention	2268861	134217728
10	moe	2557207	1017118720
11	attention	1118782	134217728
11	moe	2557207	1017118720
12	attention	2268861	134217728
12	moe	2557207	1017118720
13	attention	2268861	134217728
13	moe	2557207	1017118720
14	attention	2268861	134217728
14	moe	2557207	1017118720
15	attention	1118782	134217728
15	moe	2557207	1017118720
16	attention	2268861	134217728
16	moe	2557207	1017118720
17	attention	2268861	134217728
17	moe	2557207	1017118720
18	attention	2268861	134217728
18	moe	2557207	1017118720
19	attention	1118782	134217728
19	moe	2557207	1017118720
20	attention	2268861	134217728
20	moe	2557207	1017118720
21	attention	2268861	134217728
21	moe	2557207	1017118720
22	attention	2268861	134217728
22	moe	2557207	1017118720
23	attention	1118782	134217728
23	moe	2557207	1017118720
24	attention	2268861	134217728
24	moe	2557207	1017118720
25	attention	2268861	134217728
25	moe	2557207	1017118720
26	attention	2268861	134217728
26	moe	2557207	1017118720
27	attention	1118782	134217728
27	moe	2557207	1017118720
28	attention	2268861	134217728
28	moe	2557207	1017118720
29	attention	2268861	134217728
29	moe	2557207	1017118720
30	attention	2268861	134217728
30	moe	2557207	1017118720
31	attention	1118782	134217728
31	moe	2557207	1017118720
32	attention	2268861	134217728
32	moe	2557207	1017118720
33	attention	2268861	134217728
33	moe	2557207	1017118720
34	attention	2268861	134217728
34	moe	2557207	1017118720
35	attention	1118782	134217728
35	moe	2557207	1017118720
36	attention	2268861	134217728
36	moe	2557207	1017118720
37	attention	2268861	134217728
37	moe	2557207	1017118720
38	attention	2268861	134217728
38	moe	2557207	1017118720
39	attention	1118782	134217728
39	moe	2557207	1017118720
40	attention	2268861	134217728
40	moe	2557207	1017118720
41	attention	2268861	134217728
41	moe	2557207	1017118720
42	attention	2268861	134217728
42	moe	2557207	1017118720
43	attention	1118782	134217728
43	moe	2557207	1017118720
44	attention	2268861	134217728
44	moe	2557207	1017118720
45	attention	2268861	134217728
45	moe	2557207	1017118720
46	attention	2268861	134217728
46	moe	2557207	1017118720
47	attention	1118782	134217728
47	moe	2557207	1017118720
