layer_id	layer_name	comp_time	comm_size
0	attention	94020	4194304
0	moe	242703	31784960
1	attention	94020	4194304
1	moe	242703	31784960
2	attention	94020	4194304
2	moe	242703	31784960
3	attention	62169	4194304
3	moe	242703	31784960
4	attention	94020	4194304
4	moe	242703	31784960
5	attention	94020	4194304
5	moe	242703	31784960
6	attention	94020	4194304
6	moe	242703	31784960
7	attention	62169	4194304
7	moe	242703	31784960
8	attention	94020	4194304
8	moe	242703	31784960
9	attention	94020	4194304
9	moe	242703	31784960
10	attention	94020	4194304
10	moe	242703	31784960
11	attention	62169	4194304
11	moe	242703	31784960
12	attention	94020	4194304
12	moe	242703	31784960
13	attention	94020	4194304
13	moe	242703	31784960
14	attention	94020	4194304
14	moe	242703	31784960
15	attention	62169	4194304
15	moe	242703	31784960
16	attention	94020	4194304
16	moe	242703	31784960
17	attention	94020	4194304
17	moe	242703	31784960
18	attention	94020	4194304
18	moe	242703	31784960
19	attention	62169	4194304
19	moe	242703	31784960
20	attention	94020	4194304
20	moe	242703	31784960
21	attention	94020	4194304
21	moe	242703	31784960
22	attention	94020	4194304
22	moe	242703	31784960
23	attention	62169	4194304
23	moe	242703	31784960
24	attention	94020	4194304
24	moe	242703	31784960
25	attention	94020	4194304
25	moe	242703	31784960
26	attention	94020	4194304
26	moe	242703	31784960
27	attention	62169	4194304
27	moe	242703	31784960
28	attention	94020	4194304
28	moe	242703	31784960
29	attention	94020	4194304
29	moe	242703	31784960
30	attention	94020	4194304
30	moe	242703	31784960
31	attention	62169	4194304
31	moe	242703	31784960
32	attention	94020	4194304
32	moe	242703	31784960
33	attention	94020	4194304
33	moe	242703	31784960
34	attention	94020	4194304
34	moe	242703	31784960
35	attention	62169	4194304
35	moe	242703	31784960
36	attention	94020	4194304
36	moe	242703	31784960
37	attention	94020	4194304
37	moe	242703	31784960
38	attention	94020	4194304
38	moe	242703	31784960
39	attention	62169	4194304
39	moe	242703	31784960
40	attention	94020	4194304
40	moe	242703	31784960
41	attention	94020	4194304
41	moe	242703	31784960
42	attention	94020	4194304
42	moe	242703	31784960
43	attention	62169	4194304
43	moe	242703	31784960
44	attention	94020	4194304
44	moe	242703	31784960
45	attention	94020	4194304
45	moe	242703	31784960
46	attention	94020	4194304
46	moe	242703	31784960
47	attention	62169	4194304
47	moe	242703	31784960
