layer_id	layer_name	comp_time	comm_size
0	attention	157682	0
0	moe	185622	63569920
1	attention	157682	0
1	moe	185622	63569920
2	attention	157682	0
2	moe	185622	63569920
3	attention	90984	0
3	moe	185622	63569920
4	attention	157682	0
4	moe	185622	63569920
5	attention	157682	0
5	moe	185622	63569920
6	attention	157682	0
6	moe	185622	63569920
7	attention	90984	0
7	moe	185622	63569920
8	attention	157682	0
8	moe	185622	63569920
9	attention	157682	0
9	moe	185622	63569920
10	attention	157682	0
10	moe	185622	63569920
11	attention	90984	0
11	moe	185622	63569920
12	attention	157682	0
12	moe	185622	63569920
13	attention	157682	0
13	moe	185622	63569920
14	attention	157682	0
14	moe	185622	63569920
15	attention	90984	0
15	moe	185622	63569920
16	attention	157682	0
16	moe	185622	63569920
17	attention	157682	0
17	moe	185622	63569920
18	attention	157682	0
18	moe	185622	63569920
19	attention	90984	0
19	moe	185622	63569920
20	attention	157682	0
20	moe	185622	63569920
21	attention	157682	0
21	moe	185622	63569920
22	attention	157682	0
22	moe	185622	63569920
23	attention	90984	0
23	moe	185622	63569920
24	attention	157682	0
24	moe	185622	63569920
25	attention	157682	0
25	moe	185622	63569920
26	attention	157682	0
26	moe	185622	63569920
27	attention	90984	0
27	moe	185622	63569920
28	attention	157682	0
28	moe	185622	63569920
29	attention	157682	0
29	moe	185622	63569920
30	attention	157682	0
30	moe	185622	63569920
31	attention	90984	0
31	moe	185622	63569920
32	attention	157682	0
32	moe	185622	63569920
33	attention	157682	0
33	moe	185622	63569920
34	attention	157682	0
34	moe	185622	63569920
35	attention	90984	0
35	moe	185622	63569920
36	attention	157682	0
36	moe	185622	63569920
37	attention	157682	0
37	moe	185622	63569920
38	attention	157682	0
38	moe	185622	63569920
39	attention	90984	0
39	moe	185622	63569920
40	attention	157682	0
40	moe	185622	63569920
41	attention	157682	0
41	moe	185622	63569920
42	attention	157682	0
42	moe	185622	63569920
43	attention	90984	0
43	moe	185622	63569920
44	attention	157682	0
44	moe	185622	63569920
45	attention	157682	0
45	moe	185622	63569920
46	attention	157682	0
46	moe	185622	63569920
47	attention	90984	0
47	moe	185622	63569920
