layer_id	layer_name	comp_time	comm_size
0	attention	59379	2097152
0	moe	233487	15892480
1	attention	59379	2097152
1	moe	233487	15892480
2	attention	59379	2097152
2	moe	233487	15892480
3	attention	47678	2097152
3	moe	233487	15892480
4	attention	59379	2097152
4	moe	233487	15892480
5	attention	59379	2097152
5	moe	233487	15892480
6	attention	59379	2097152
6	moe	233487	15892480
7	attention	47678	2097152
7	moe	233487	15892480
8	attention	59379	2097152
8	moe	233487	15892480
9	attention	59379	2097152
9	moe	233487	15892480
10	attention	59379	2097152
10	moe	233487	15892480
11	attention	47678	2097152
11	moe	233487	15892480
12	attention	59379	2097152
12	moe	233487	15892480
13	attention	59379	2097152
13	moe	233487	15892480
14	attention	59379	2097152
14	moe	233487	15892480
15	attention	47678	2097152
15	moe	233487	15892480
16	attention	59379	2097152
16	moe	233487	15892480
17	attention	59379	2097152
17	moe	233487	15892480
18	attention	59379	2097152
18	moe	233487	15892480
19	attention	47678	2097152
19	moe	233487	15892480
20	attention	59379	2097152
20	moe	233487	15892480
21	attention	59379	2097152
21	moe	233487	15892480
22	attention	59379	2097152
22	moe	233487	15892480
23	attention	47678	2097152
23	moe	233487	15892480
24	attention	59379	2097152
24	moe	233487	15892480
25	attention	59379	2097152
25	moe	233487	15892480
26	attention	59379	2097152
26	moe	233487	15892480
27	attention	47678	2097152
27	moe	233487	15892480
28	attention	59379	2097152
28	moe	233487	15892480
29	attention	59379	2097152
29	moe	233487	15892480
30	attention	59379	2097152
30	moe	233487	15892480
31	attention	47678	2097152
31	moe	233487	15892480
32	attention	59379	2097152
32	moe	233487	15892480
33	attention	59379	2097152
33	moe	233487	15892480
34	attention	59379	2097152
34	moe	233487	15892480
35	attention	47678	2097152
35	moe	233487	15892480
36	attention	59379	2097152
36	moe	233487	15892480
37	attention	59379	2097152
37	moe	233487	15892480
38	attention	59379	2097152
38	moe	233487	15892480
39	attention	47678	2097152
39	moe	233487	15892480
40	attention	59379	2097152
40	moe	233487	15892480
41	attention	59379	2097152
41	moe	233487	15892480
42	attention	59379	2097152
42	moe	233487	15892480
43	attention	47678	2097152
43	moe	233487	15892480
44	attention	59379	2097152
44	moe	233487	15892480
45	attention	59379	2097152
45	moe	233487	15892480
46	attention	59379	2097152
46	moe	233487	15892480
47	attention	47678	2097152
47	moe	233487	15892480
