layer_id	layer_name	comp_time	comm_size
0	attention	23702	4096
0	moe	117795	31040
1	attention	23702	4096
1	moe	117795	31040
2	attention	23702	4096
2	moe	117795	31040
3	attention	33447	4096
3	moe	117795	31040
4	attention	23702	4096
4	moe	117795	31040
5	attention	23702	4096
5	moe	117795	31040
6	attention	23702	4096
6	moe	117795	31040
7	attention	33447	4096
7	moe	117795	31040
8	attention	23702	4096
8	moe	117795	31040
9	attention	23702	4096
9	moe	117795	31040
10	attention	23702	4096
10	moe	117795	31040
11	attention	33447	4096
11	moe	117795	31040
12	attention	23702	4096
12	moe	117795	31040
13	attention	23702	4096
13	moe	117795	31040
14	attention	23702	4096
14	moe	117795	31040
15	attention	33447	4096
15	moe	117795	31040
16	attention	23702	4096
16	moe	117795	31040
17	attention	23702	4096
17	moe	117795	31040
18	attention	23702	4096
18	moe	117795	31040
19	attention	33447	4096
19	moe	117795	31040
20	attention	23702	4096
20	moe	117795	31040
21	attention	23702	4096
21	moe	117795	31040
22	attention	23702	4096
22	moe	117795	31040
23	attention	33447	4096
23	moe	117795	31040
24	attention	23702	4096
24	moe	117795	31040
25	attention	23702	4096
25	moe	117795	31040
26	attention	23702	4096
26	moe	117795	31040
27	attention	33447	4096
27	moe	117795	31040
28	attention	23702	4096
28	moe	117795	31040
29	attention	23702	4096
29	moe	117795	31040
30	attention	23702	4096
30	moe	117795	31040
31	attention	33447	4096
31	moe	117795	31040
32	attention	23702	4096
32	moe	117795	31040
33	attention	23702	4096
33	moe	117795	31040
34	attention	23702	4096
34	moe	117795	31040
35	attention	33447	4096
35	moe	117795	31040
36	attention	23702	4096
36	moe	117795	31040
37	attention	23702	4096
37	moe	117795	31040
38	attention	23702	4096
38	moe	117795	31040
39	attention	33447	4096
39	moe	117795	31040
40	attention	23702	4096
40	moe	117795	31040
41	attention	23702	4096
41	moe	117795	31040
42	attention	23702	4096
42	moe	117795	31040
43	attention	33447	4096
43	moe	117795	31040
44	attention	23702	4096
44	moe	117795	31040
45	attention	23702	4096
45	moe	117795	31040
46	attention	23702	4096
46	moe	117795	31040
47	attention	33447	4096
47	moe	117795	31040
