layer_id	layer_name	comp_time	comm_size
0	attention	2141967	0
0	moe	1482418	1017118720
1	attention	2141967	0
1	moe	1482418	1017118720
2	attention	2141967	0
2	moe	1482418	1017118720
3	attention	1004891	0
3	moe	1482418	1017118720
4	attention	2141967	0
4	moe	1482418	1017118720
5	attention	2141967	0
5	moe	1482418	1017118720
6	attention	2141967	0
6	moe	1482418	1017118720
7	attention	1004891	0
7	moe	1482418	1017118720
8	attention	2141967	0
8	moe	1482418	1017118720
9	attention	2141967	0
9	moe	1482418	1017118720
10	attention	2141967	0
10	moe	1482418	1017118720
11	attention	1004891	0
11	moe	1482418	1017118720
12	attention	2141967	0
12	moe	1482418	1017118720
13	attention	2141967	0
13	moe	1482418	1017118720
14	attention	2141967	0
14	moe	1482418	1017118720
15	attention	1004891	0
15	moe	1482418	1017118720
16	attention	2141967	0
16	moe	1482418	1017118720
17	attention	2141967	0
17	moe	1482418	1017118720
18	attention	2141967	0
18	moe	1482418	1017118720
19	attention	1004891	0
19	moe	1482418	1017118720
20	attention	2141967	0
20	moe	1482418	1017118720
21	attention	2141967	0
21	moe	1482418	1017118720
22	attention	2141967	0
22	moe	1482418	1017118720
23	attention	1004891	0
23	moe	1482418	1017118720
24	attention	2141967	0
24	moe	1482418	1017118720
25	attention	2141967	0
25	moe	1482418	1017118720
26	attention	2141967	0
26	moe	1482418	1017118720
27	attention	1004891	0
27	moe	1482418	1017118720
28	attention	2141967	0
28	moe	1482418	1017118720
29	attention	2141967	0
29	moe	1482418	1017118720
30	attention	2141967	0
30	moe	1482418	1017118720
31	attention	1004891	0
31	moe	1482418	1017118720
32	attention	2141967	0
32	moe	1482418	1017118720
33	attention	2141967	0
33	moe	1482418	1017118720
34	attention	2141967	0
34	moe	1482418	1017118720
35	attention	1004891	0
35	moe	1482418	1017118720
36	attention	2141967	0
36	moe	1482418	1017118720
37	attention	2141967	0
37	moe	1482418	1017118720
38	attention	2141967	0
38	moe	1482418	1017118720
39	attention	1004891	0
39	moe	1482418	1017118720
40	attention	2141967	0
40	moe	1482418	1017118720
41	attention	2141967	0
41	moe	1482418	1017118720
42	attention	2141967	0
42	moe	1482418	1017118720
43	attention	1004891	0
43	moe	1482418	1017118720
44	attention	2141967	0
44	moe	1482418	1017118720
45	attention	2141967	0
45	moe	1482418	1017118720
46	attention	2141967	0
46	moe	1482418	1017118720
47	attention	1004891	0
47	moe	1482418	1017118720
