layer_id	layer_name	comp_time	comm_size
0	attention	597930	33554432
0	moe	735953	254279680
1	attention	597930	33554432
1	moe	735953	254279680
2	attention	597930	33554432
2	moe	735953	254279680
3	attention	312312	33554432
3	moe	735953	254279680
4	attention	597930	33554432
4	moe	735953	254279680
5	attention	597930	33554432
5	moe	735953	254279680
6	attention	597930	33554432
6	moe	735953	254279680
7	attention	312312	33554432
7	moe	735953	254279680
8	attention	597930	33554432
8	moe	735953	254279680
9	attention	597930	33554432
9	moe	735953	254279680
10	attention	597930	33554432
10	moe	735953	254279680
11	attention	312312	33554432
11	moe	735953	254279680
12	attention	597930	33554432
12	moe	735953	254279680
13	attention	597930	33554432
13	moe	735953	254279680
14	attention	597930	33554432
14	moe	735953	254279680
15	attention	312312	33554432
15	moe	735953	254279680
16	attention	597930	33554432
16	moe	735953	254279680
17	attention	597930	33554432
17	moe	735953	254279680
18	attention	597930	33554432
18	moe	735953	254279680
19	attention	312312	33554432
19	moe	735953	254279680
20	attention	597930	33554432
20	moe	735953	254279680
21	attention	597930	33554432
21	moe	735953	254279680
22	attention	597930	33554432
22	moe	735953	254279680
23	attention	312312	33554432
23	moe	735953	254279680
24	attention	597930	33554432
24	moe	735953	254279680
25	attention	597930	33554432
25	moe	735953	254279680
26	attention	597930	33554432
26	moe	735953	254279680
27	attention	312312	33554432
27	moe	735953	254279680
28	attention	597930	33554432
28	moe	735953	254279680
29	attention	597930	33554432
29	moe	735953	254279680
30	attention	597930	33554432
30	moe	735953	254279680
31	attention	312312	33554432
31	moe	735953	254279680
32	attention	597930	33554432
32	moe	735953	254279680
33	attention	597930	33554432
33	moe	735953	254279680
34	attention	597930	33554432
34	moe	735953	254279680
35	attention	312312	33554432
35	moe	735953	254279680
36	attention	597930	33554432
36	moe	735953	254279680
37	attention	597930	33554432
37	moe	735953	254279680
38	attention	597930	33554432
38	moe	735953	254279680
39	attention	312312	33554432
39	moe	735953	254279680
40	attention	597930	33554432
40	moe	735953	254279680
41	attention	597930	33554432
41	moe	735953	254279680
42	attention	597930	33554432
42	moe	735953	254279680
43	attention	312312	33554432
43	moe	735953	254279680
44	attention	597930	33554432
44	moe	735953	254279680
45	attention	597930	33554432
45	moe	735953	254279680
46	attention	597930	33554432
46	moe	735953	254279680
47	attention	312312	33554432
47	moe	735953	254279680
